"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ABCB10",0.155718476812824,-0.166866425021272,0.286,0.449,1,"ABCB10"
"GP1BA",0.155739900836134,0.288658839356136,0.114,0.041,1,"GP1BA"
"IRGM",0.155739900836134,0.280556730967971,0.114,0.041,1,"IRGM"
"RP11-728K20.3",0.155739900836134,0.110236481669767,0.114,0.041,1,"RP11-728K20.3"
"ALKBH4",0.155796849632544,-0.831017287656156,0.371,0.571,1,"ALKBH4"
"MFN2",0.155796849632544,-0.100645560689924,0.386,0.551,1,"MFN2"
"PTCD2",0.15581116837453,-0.400768837460659,0.243,0.429,1,"PTCD2"
"TRPS1",0.155902406334359,-0.575377720648794,0.4,0.551,1,"TRPS1"
"ADGRB1",0.156007886265546,-1.23664428204079,0.086,0.184,1,"ADGRB1"
"EXOSC9",0.156031210261048,-0.831821308015546,0.514,0.735,1,"EXOSC9"
"HKDC1",0.15608881145969,-0.991032022182043,0.114,0.224,1,"HKDC1"
"ACTR10",0.156276388009515,-0.571386520691534,0.643,0.857,1,"ACTR10"
"HAX1",0.156287225020002,0.409940067127357,0.929,0.918,1,"HAX1"
"EIF2S3",0.156334425612485,0.441620827006201,0.957,0.918,1,"EIF2S3"
"WDR46",0.156419611118961,-0.176559496387177,0.614,0.796,1,"WDR46"
"FAM175A",0.156507012117692,0.919249847693896,0.629,0.51,1,"FAM175A"
"PCYT2",0.156607162407607,-0.367000296775841,0.471,0.673,1,"PCYT2"
"MIEN1",0.156663452360233,-0.598033938360838,0.814,0.939,1,"MIEN1"
"HIST1H2BL",0.156811277760265,-0.21747522621613,0.071,0.163,1,"HIST1H2BL"
"SLC26A1",0.156811277760265,-0.170519215771467,0.071,0.163,1,"SLC26A1"
"FAM27C",0.156867709759877,0.227065747968409,0.2,0.306,1,"FAM27C"
"COLEC12",0.157174342694444,-0.899443628997862,0.229,0.327,1,"COLEC12"
"RP11-53O19.3",0.157331022004236,0.457624954587076,0.143,0.265,1,"RP11-53O19.3"
"LINC00544",0.157378130112985,-0.308026298983951,0.157,0.082,1,"LINC00544"
"CTGF",0.157431887204461,-1.87373050319155,0.086,0.163,1,"CTGF"
"IGHE",0.15751548047874,0.960340236700182,0.271,0.163,1,"IGHE"
"TCEANC",0.1575686929343,1.39782862590375,0.4,0.286,1,"TCEANC"
"GIGYF2",0.157646495750971,-0.549406649770133,0.557,0.735,1,"GIGYF2"
"ADPRHL2",0.157646495750971,-0.586247352956111,0.586,0.694,1,"ADPRHL2"
"IL15",0.157657067050684,-0.974074962790693,0.386,0.592,1,"IL15"
"KLHL8",0.157693528188083,-0.501621816267885,0.357,0.531,1,"KLHL8"
"LINC01473",0.15772163770731,1.24177721865866,0.371,0.245,1,"LINC01473"
"ATAD1",0.157941827711836,1.01263288365312,0.686,0.633,1,"ATAD1"
"DRAP1",0.157944790625527,-0.572043995984302,0.929,1,1,"DRAP1"
"UBA52",0.157959595255809,0.391688874447941,1,1,1,"UBA52"
"ARID1A",0.158028259017471,-0.849414389876914,0.629,0.776,1,"ARID1A"
"BOLA2B",0.158063109770996,-0.179015513630319,0.229,0.388,1,"BOLA2B"
"PNPLA8",0.158124482272312,-0.644431919021396,0.7,0.837,1,"PNPLA8"
"KANSL1-AS1",0.158324876549137,1.00683002648068,0.557,0.469,1,"KANSL1-AS1"
"ORMDL2",0.158409738153454,-0.748805667899638,0.771,0.898,1,"ORMDL2"
"ING1",0.158415519967318,-0.825526973101354,0.514,0.714,1,"ING1"
"MGAT1",0.158418498159366,-0.647963554651348,0.843,0.939,1,"MGAT1"
"NRM",0.158488081056164,-1.13884107503298,0.386,0.571,1,"NRM"
"CCPG1",0.158541516698064,-0.417497795517309,0.629,0.735,1,"CCPG1"
"KIAA1191",0.158551918875731,-0.4657738027038,0.471,0.694,1,"KIAA1191"
"C1QTNF6",0.158599868306652,-1.1536576804655,0.171,0.306,1,"C1QTNF6"
"CLK1",0.15863368882902,0.402215627494585,0.929,0.898,1,"CLK1"
"AF064858.8",0.158727433755187,-0.592070574704477,0.014,0.061,1,"AF064858.8"
"AKAP14",0.158727433755187,-0.64132753998008,0.014,0.061,1,"AKAP14"
"AL450992.2",0.158727433755187,-0.536673337122985,0.014,0.061,1,"AL450992.2"
"CCDC190",0.158727433755187,-0.618871979993721,0.014,0.061,1,"CCDC190"
"CDR1-AS",0.158727433755187,-0.736848612200776,0.014,0.061,1,"CDR1-AS"
"CEP295NL",0.158727433755187,-0.691056298146798,0.014,0.061,1,"CEP295NL"
"COL11A2",0.158727433755187,-0.305668085307931,0.014,0.061,1,"COL11A2"
"COL4A1",0.158727433755187,-0.797899790228755,0.014,0.061,1,"COL4A1"
"FAM90A1",0.158727433755187,-0.726778641769755,0.014,0.061,1,"FAM90A1"
"MAMDC2",0.158727433755187,-2.53096687050868,0.014,0.061,1,"MAMDC2"
"MSH5-SAPCD1",0.158727433755187,-0.569332154983387,0.014,0.061,1,"MSH5-SAPCD1"
"RP11-112L6.3",0.158727433755187,-0.725120664314783,0.014,0.061,1,"RP11-112L6.3"
"RP11-317P15.4",0.158727433755187,-0.801966807682207,0.014,0.061,1,"RP11-317P15.4"
"RP11-472G21.2",0.158727433755187,-0.570619411069983,0.014,0.061,1,"RP11-472G21.2"
"RP11-490B18.5",0.158727433755187,-0.314973782579107,0.014,0.061,1,"RP11-490B18.5"
"RP11-548P2.2",0.158727433755187,-0.562929436301798,0.014,0.061,1,"RP11-548P2.2"
"RP11-810P12.5",0.158727433755187,-0.554833601983795,0.014,0.061,1,"RP11-810P12.5"
"RP11-83B20.1",0.158727433755187,-0.97113828900359,0.014,0.061,1,"RP11-83B20.1"
"SCUBE1",0.158727433755187,-1.24186070268127,0.014,0.061,1,"SCUBE1"
"SLC30A2",0.158727433755187,0.704882540432537,0.014,0.061,1,"SLC30A2"
"SNAP25",0.158727433755187,-1.29787056521012,0.014,0.061,1,"SNAP25"
"SLAMF6",0.15880607654454,0.416852671219092,0.586,0.449,1,"SLAMF6"
"ACSL5",0.158982979665619,-0.403683126953984,0.529,0.653,1,"ACSL5"
"AL022341.3",0.159035070560057,1.74829191313057,0.114,0.041,1,"AL022341.3"
"IGHV3-30",0.159035070560057,1.05746241694018,0.114,0.041,1,"IGHV3-30"
"RP11-247A12.2",0.159035070560057,0.421688247445072,0.114,0.041,1,"RP11-247A12.2"
"SNHG25",0.159054078995727,0.672532355983156,0.714,0.776,1,"SNHG25"
"TWF1",0.159133067566952,-0.793489035934977,0.514,0.694,1,"TWF1"
"ADGRL1",0.159213542397882,-0.74514859824583,0.214,0.347,1,"ADGRL1"
"COPS7A",0.159282114691564,-0.556219960654998,0.557,0.735,1,"COPS7A"
"RP11-96O20.5",0.159283585957582,-0.822559958550708,0.114,0.204,1,"RP11-96O20.5"
"RP11-246A10.1",0.159283585957582,0.714709857615555,0.186,0.102,1,"RP11-246A10.1"
"FANCA",0.15935714875569,-0.638760596660514,0.4,0.551,1,"FANCA"
"DEK",0.159392093070351,-0.624382896944537,0.886,0.939,1,"DEK"
"HS3ST3B1",0.159493133338758,1.56120981497133,0.429,0.327,1,"HS3ST3B1"
