"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CTNNA1",1.0858924715964e-13,-2.19283655317807,0.773,0.974,3.21793375032876e-09,"CTNNA1"
"SIRPA",1.09933434755677e-13,-2.63085280692098,0.609,0.909,3.25776740554974e-09,"SIRPA"
"LILRB2",1.1241956117234e-13,-2.82625958202893,0.373,0.779,3.33144127578112e-09,"LILRB2"
"PYCR1",1.15521958246712e-13,-2.35731047541321,0.491,0.87,3.42337771068306e-09,"PYCR1"
"DNAH11",1.1992918833232e-13,-2.70613790483674,0.055,0.558,3.55398156703999e-09,"DNAH11"
"ASPH",1.20242673008599e-13,-2.92947577894311,0.745,0.961,3.56327137193683e-09,"ASPH"
"LHFPL2",1.22618450634367e-13,-2.68794686159793,0.418,0.844,3.63367516609885e-09,"LHFPL2"
"DNAH14",1.23601406754778e-13,-2.33942935768615,0.209,0.818,3.6628040877711e-09,"DNAH14"
"RARA-AS1",1.23818506614782e-13,-2.01780006717775,0.318,0.896,3.66923762502246e-09,"RARA-AS1"
"TRAT1",1.25343764236886e-13,1.79996690288801,0.991,0.896,3.71443710939587e-09,"TRAT1"
"DLG5",1.29023340541923e-13,-2.25928120025266,0.155,0.727,3.82347767361934e-09,"DLG5"
"SIDT1-AS1",1.30681241249517e-13,2.1486389006183,0.936,0.623,3.8726079031882e-09,"SIDT1-AS1"
"BMP3",1.41074406339884e-13,-2.98500044218342,0.009,0.442,4.18059895747612e-09,"BMP3"
"PPP4R1",1.41362305494095e-13,-1.92685999257476,0.582,0.961,4.189130561012e-09,"PPP4R1"
"FCER1G",1.51218113018334e-13,-2.20873618018234,0.936,1,4.4811975611853e-09,"FCER1G"
"ARVCF",1.51472964980896e-13,-1.84500852161761,0.082,0.61,4.48874984424386e-09,"ARVCF"
"RHOBTB1",1.53087865515934e-13,-2.61990428587537,0.082,0.558,4.5366058066992e-09,"RHOBTB1"
"TTC23",1.55437432562639e-13,-2.17928319183988,0.082,0.571,4.60623287656125e-09,"TTC23"
"SPINT1",1.56443626089517e-13,-2.98896872700893,0.618,0.935,4.63605041553676e-09,"SPINT1"
"SYCE3",1.59412723918398e-13,-2.49132917965451,0.055,0.545,4.72403666059781e-09,"SYCE3"
"RP11-18H21.1",1.60410248732923e-13,2.04861267989357,0.945,0.753,4.75359731095144e-09,"RP11-18H21.1"
"FOXP2",1.60979968369193e-13,-2.03561179436456,0.064,0.558,4.77048038265267e-09,"FOXP2"
"AC007405.6",1.64383550256962e-13,-2.12983835499538,0.018,0.468,4.87134212831481e-09,"AC007405.6"
"MARC1",1.65295619928022e-13,-2.25536586167421,0.073,0.545,4.89837040094701e-09,"MARC1"
"IFI6",1.67872585936552e-13,-2.05485475912862,0.982,1,4.97473621164377e-09,"IFI6"
"PLEK2",1.70729533074409e-13,-3.21620123288057,0.227,0.74,5.05939898312705e-09,"PLEK2"
"CELSR2",1.78993227477936e-13,-1.69270467031755,0.055,0.558,5.30428530308116e-09,"CELSR2"
"FPR2",1.80495306029232e-13,-2.80035881202899,0.036,0.494,5.34879789887025e-09,"FPR2"
"ARHGAP40",1.8215281893719e-13,-2.67960061415659,0,0.416,5.39791663638468e-09,"ARHGAP40"
"IL37",1.8215281893719e-13,-3.5215033943764,0,0.416,5.39791663638468e-09,"IL37"
"PALM3",1.8215281893719e-13,-1.95369678030068,0,0.416,5.39791663638468e-09,"PALM3"
"PLCH1",1.8215281893719e-13,-2.01999287980177,0,0.416,5.39791663638468e-09,"PLCH1"
"PQLC2L",1.8215281893719e-13,-1.85749646036962,0,0.416,5.39791663638468e-09,"PQLC2L"
"BMP1",1.85845437241604e-13,-2.13497569624877,0.136,0.688,5.50734368721769e-09,"BMP1"
"TSPAN15",1.8649031882297e-13,-2.76338086423934,0.4,0.883,5.5264541079999e-09,"TSPAN15"
"HCAR2",1.90313510561733e-13,-2.48326470610483,0.164,0.662,5.63975057198641e-09,"HCAR2"
"CDK18",1.96175556124162e-13,-2.28450399948712,0.173,0.74,5.8134664301834e-09,"CDK18"
"SORBS1",1.96826392469911e-13,-1.62218982920074,0.009,0.442,5.83275331445335e-09,"SORBS1"
"HCK",1.97334100668842e-13,-2.27264703166984,0.673,0.935,5.84779873922046e-09,"HCK"
"HOXB6",1.99567719529794e-13,-2.39790112101292,0.091,0.584,5.91398980054591e-09,"HOXB6"
