"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NAB2",0.0246307558223467,-0.5468145347228,0.147,0.333,1,"NAB2"
"IGFBP7",0.0247370478390828,-1.24518135022336,0.133,0.314,1,"IGFBP7"
"GYG1",0.0247897732694203,-0.711130051970093,0.387,0.647,1,"GYG1"
"PYHIN1",0.0247897732694203,0.774737083033279,0.547,0.412,1,"PYHIN1"
"DIS3L2",0.0247962963770195,1.75651753594119,0.413,0.275,1,"DIS3L2"
"CYB561",0.0248111392504052,-0.366630293445816,0.2,0.412,1,"CYB561"
"PXMP4",0.0248296797687203,-0.358322685002836,0.133,0.333,1,"PXMP4"
"AC012358.8",0.0248673833706433,-2.7240670488598,0.04,0.157,1,"AC012358.8"
"FAM72A",0.0248673833706433,-2.22162585978282,0.04,0.157,1,"FAM72A"
"ISM1",0.0248673833706433,-1.255055683793,0.04,0.157,1,"ISM1"
"ZNF777",0.0248673833706433,-1.07973043448701,0.04,0.157,1,"ZNF777"
"C16orf91",0.0249128310720673,-0.49934758952476,0.307,0.588,1,"C16orf91"
"GUF1",0.0249285849046157,-1.24865158974797,0.107,0.275,1,"GUF1"
"ANKRD16",0.0249312888104491,-0.485572772743439,0.067,0.216,1,"ANKRD16"
"CWF19L2",0.024945332115596,1.08577818975187,0.653,0.49,1,"CWF19L2"
"SGPL1",0.0249512287858699,-0.430588455161771,0.28,0.529,1,"SGPL1"
"STX4",0.0249615560619933,-0.783999310785202,0.4,0.627,1,"STX4"
"METTL2A",0.0249649486080293,-0.915173330037396,0.2,0.431,1,"METTL2A"
"DGCR8",0.0250041179950344,-1.42630524948041,0.12,0.294,1,"DGCR8"
"PI4KA",0.0250041179950344,-0.434662586673865,0.12,0.294,1,"PI4KA"
"GTF3C2",0.0250159982384261,-1.21998667384881,0.187,0.412,1,"GTF3C2"
"FAM26F",0.0250520897284403,-0.463847466047452,0.56,0.667,1,"FAM26F"
"FLII",0.0252211637542772,-0.951267339000595,0.293,0.569,1,"FLII"
"ANKRD13C",0.0252399425290307,-1.61738168038366,0.147,0.353,1,"ANKRD13C"
