"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"DIRAS2",0.515685108757458,-0.119661186305607,0.025,0.012,1,"DIRAS2"
"EDC4",0.515685108757458,-0.164962633582264,0.025,0.012,1,"EDC4"
"FSBP",0.515685108757458,0.780432000718576,0.025,0.012,1,"FSBP"
"GS1-590J6.3",0.515685108757458,-0.262053365095635,0.025,0.012,1,"GS1-590J6.3"
"HAND2-AS1",0.515685108757458,-0.412308541676925,0.025,0.012,1,"HAND2-AS1"
"HAVCR1",0.515685108757458,-0.251127181785342,0.025,0.012,1,"HAVCR1"
"LEFTY2",0.515685108757458,-0.338381601514104,0.025,0.012,1,"LEFTY2"
"LINC00640",0.515685108757458,0.743299597331319,0.025,0.012,1,"LINC00640"
"LINC01235",0.515685108757458,-0.39610128812656,0.025,0.012,1,"LINC01235"
"LYPLAL1-AS1",0.515685108757458,-0.392597854481701,0.025,0.012,1,"LYPLAL1-AS1"
"PLCD4",0.515685108757458,1.06836584219506,0.025,0.012,1,"PLCD4"
"PRLHR",0.515685108757458,0.793600575220562,0.025,0.012,1,"PRLHR"
"PXDNL",0.515685108757458,-0.322931441882758,0.025,0.012,1,"PXDNL"
"RP11-106M7.1",0.515685108757458,1.2753186996908,0.025,0.012,1,"RP11-106M7.1"
"RP11-1070N10.5",0.515685108757458,-0.415218176193417,0.025,0.012,1,"RP11-1070N10.5"
"RP11-210K20.2",0.515685108757458,-0.228861982702798,0.025,0.012,1,"RP11-210K20.2"
"RP11-255E6.6",0.515685108757458,-0.288496733035216,0.025,0.012,1,"RP11-255E6.6"
"RP11-293M10.2",0.515685108757458,-0.110033163877762,0.025,0.012,1,"RP11-293M10.2"
"RP11-415F23.3",0.515685108757458,-0.546305990654032,0.025,0.012,1,"RP11-415F23.3"
"RP11-703H8.7",0.515685108757458,-0.215332671219731,0.025,0.012,1,"RP11-703H8.7"
"RP11-779O18.3",0.515685108757458,-0.380529038258527,0.025,0.012,1,"RP11-779O18.3"
"RP11-77E14.2",0.515685108757458,-0.146131311514918,0.025,0.012,1,"RP11-77E14.2"
"RP3-330M21.5",0.515685108757458,-0.525206867301958,0.025,0.012,1,"RP3-330M21.5"
"RP3-388M5.9",0.515685108757458,-0.322983619439102,0.025,0.012,1,"RP3-388M5.9"
"RP4-686C3.7",0.515685108757458,-0.260431265365212,0.025,0.012,1,"RP4-686C3.7"
"RP5-997D24.3",0.515685108757458,-0.387215148180191,0.025,0.012,1,"RP5-997D24.3"
"SPATA32",0.515685108757458,-0.154256581398512,0.025,0.012,1,"SPATA32"
"SPDYE5",0.515685108757458,0.744054188937845,0.025,0.012,1,"SPDYE5"
"TRAV8-4",0.515685108757458,-0.256018409450727,0.025,0.012,1,"TRAV8-4"
"TRBV7-2",0.515685108757458,0.512546078058957,0.025,0.012,1,"TRBV7-2"
"TRERNA1",0.515685108757458,-0.551261013705165,0.025,0.012,1,"TRERNA1"
"FAM111A",0.515743283936721,-0.152078273687707,0.633,0.732,1,"FAM111A"
"C3orf35",0.515870920521463,-0.419339668426851,0.075,0.11,1,"C3orf35"
"CRX",0.515876921116024,0.435816921242186,0.083,0.061,1,"CRX"
"GLT8D2",0.516262479685139,-0.183994612757489,0.05,0.073,1,"GLT8D2"
"KIAA1109",0.516282742745003,0.297291506320762,0.592,0.707,1,"KIAA1109"
"URB1-AS1",0.516337243089878,0.135487785017988,0.4,0.5,1,"URB1-AS1"
"IFT122",0.516543999406513,-0.66771459063609,0.367,0.451,1,"IFT122"
"NUDT2",0.516578345651953,0.379853222175065,0.725,0.78,1,"NUDT2"
"PARD6A",0.516674808082272,-0.205778603890608,0.467,0.598,1,"PARD6A"
"BTAF1",0.517471896829577,-0.200188248262378,0.5,0.561,1,"BTAF1"
"PGBD4",0.517506609114503,1.13382113785554,0.358,0.378,1,"PGBD4"
"ZNF543",0.517510944672984,0.269952590204334,0.308,0.293,1,"ZNF543"
"C4orf3",0.517583507248574,-0.12402893196429,0.958,0.988,1,"C4orf3"
"RP11-66N24.3",0.51772159093568,0.676246113031481,0.25,0.329,1,"RP11-66N24.3"
"P3H1",0.517828103675717,0.390291590603242,0.508,0.61,1,"P3H1"
"HIF1AN",0.517884130512575,0.541027521397288,0.558,0.634,1,"HIF1AN"
"MUS81",0.518339211474356,-0.15682261018761,0.667,0.72,1,"MUS81"
"GS1-72M22.1",0.51834686066779,-0.40318148484177,0.042,0.024,1,"GS1-72M22.1"
"HSPA12B",0.51834686066779,-0.193973628404063,0.042,0.024,1,"HSPA12B"
"RP5-902P8.12",0.51834686066779,-0.209217185199975,0.042,0.024,1,"RP5-902P8.12"
"MYO9B",0.518563662721251,-0.260471949329407,0.708,0.829,1,"MYO9B"
"RAPGEF4",0.518570360058842,-0.414514149253505,0.042,0.061,1,"RAPGEF4"
"CD244",0.518810876832148,0.18779245318061,0.442,0.402,1,"CD244"
"DECR1",0.518826155340609,-0.229584234026346,0.858,0.915,1,"DECR1"
"STEAP1B",0.518950715473333,0.144776540177196,0.167,0.207,1,"STEAP1B"
"SSH2",0.519884722357944,0.423784346410381,0.742,0.817,1,"SSH2"
"CD47",0.51990187999629,-0.199812786840939,0.9,0.976,1,"CD47"
"GIGYF1",0.519917278085004,0.852774788924484,0.625,0.646,1,"GIGYF1"
"GPATCH3",0.519927053644637,0.348295331607518,0.492,0.585,1,"GPATCH3"
"MOSPD3",0.52002750590429,0.456818623954081,0.7,0.744,1,"MOSPD3"
